Accession,Gene
IPI00024887,BMP6
IPI00024893,LZTR1
IPI00024896,PBLD
IPI00024900,SBNO2
IPI00024911,ERP29
IPI00024913,C21orf33
IPI00024915,PRDX5
IPI00024919,PRDX3
IPI00024920,ATP5D
IPI00024925,C19orf77
IPI00024929,CLMP
IPI00024933,RPL12
IPI00024934,MUT
IPI00024938,C14orf132
IPI00024943,ZBTB7A
IPI00024959,FAM113A
IPI00024966,CNTN2
IPI00024969,C8orf17
IPI00024971,OSBP
IPI00024972,CDC42SE1
IPI00024973,CDC42SE2
IPI00024975,KIF15
IPI00024976,TOMM22
IPI00024983,RTN2
IPI00024990,ALDH6A1
IPI00024993,ECHS1
IPI00024994,TULP4
IPI00024995,GYPB
IPI00025001,CTNNBIP1
IPI00025019,PSMB1
IPI00025023,LPO
IPI00025025,C17orf48
IPI00025039,FBL
IPI00025049,M6PR
IPI00025050,WARS2
IPI00025052,FCN2
IPI00025057,ADAR
IPI00025058,ADAR
IPI00025062,CTSE
IPI00025064,ESR1
IPI00025069,BMP2
IPI00025071,ISL1
IPI00025073,BMP3
IPI00025074,WNT1
IPI00025076,NTRK1
IPI00025079,ABCC9
IPI00025081,RANGRF
IPI00025084,CAPNS1
IPI00025086,COX5A
IPI00025087,TP53
IPI00025091,RPS11
IPI00025092,MYBPC1
IPI00025094,MYH16
IPI00025098,PSG6
IPI00025100,BCKDHA
IPI00025110,MSLN
IPI00025114,SLC35B1
IPI00025115,AP3S2
IPI00025142,IGSF6
IPI00025144,ATP11A
IPI00025155,FSTL3
IPI00025156,STUB1
IPI00025158,STAG1
IPI00025160,VAC14
IPI00025174,CWC27
IPI00025176,SMNDC1
IPI00025178,BCAS2
IPI00025190,APC2
IPI00025202,FMNL1
IPI00025204,CD5L
IPI00025239,NDUFS2
IPI00025240,CDH16
IPI00025242,UGT2B11
IPI00025243,GLRA3
IPI00025244,ZNF259
IPI00025252,PDIA3
IPI00025255,SNN
IPI00025256,LRRN2
IPI00025257,SEMA7A
IPI00025273,GART
IPI00025276,TNXB
IPI00025277,PDCD6
IPI00025278,ALOX12B
IPI00025279,GUCY1B2
IPI00025280,FKBP6
IPI00025285,ATP6V1G1
IPI00025292,MPDU1
IPI00025294,IER3
IPI00025295,ENTPD6
IPI00025297,ENTPD3
IPI00025307,CYP27A1
IPI00025308,PROP1
IPI00025311,BCAS1
IPI00025313,PITX3
IPI00025318,SH3BGRL
IPI00025323,MAP9
IPI00025327,PLG
IPI00025329,RPL19
IPI00025331,SLC17A7
IPI00025333,CIAPIN1
IPI00025339,MFNG
IPI00025340,PDXP
IPI00025341,BDH1
IPI00025344,NDUFS6
IPI00025345,ACCN3
IPI00025346,PEX14
IPI00025347,EMG1
IPI00025353,TULP3
IPI00025357,GPR32
IPI00025363,GFAP
IPI00025365,EDN3
IPI00025366,CS
IPI00025380,ITGAL
IPI00025382,CD1A
IPI00025383,CD5
IPI00025387,B3GALT1
IPI00025394,DDC
IPI00025400,GZMH
IPI00025415,SEMG2
IPI00025416,ACTG2
IPI00025417,ZNF45
IPI00025418,COL7A1
IPI00025424,LRRC56
IPI00025426,PZP
IPI00025427,RNASE3
IPI00025442,PLEKHG4
IPI00025460,MT1A
IPI00025461,MT1JP;MT1L;MT1E
IPI00025463,PHLDA1
IPI00025464,MT1F
IPI00025465,OGN
IPI00025468,SKIL
IPI00025473,B4GALNT1
IPI00025474,NTF3
IPI00025476,AMY1C;AMY1A;AMY1B;AMY2A
IPI00025477,CACNA1B
IPI00025478,IRF9
IPI00025489,MAK
IPI00025490,MDM2
IPI00025491,EIF4A1
IPI00025492,NGFRAP1
IPI00025498,TSPAN17
IPI00025499,MAPT
IPI00025503,ATG16L2
IPI00025510,DNAJC18
IPI00025512,HSPB1
IPI00025546,MTF1
IPI00025616,POLD2
IPI00025622,ZFAND5
IPI00025625,MR1
IPI00025628,HCAR3
IPI00025646,ACTR8
IPI00025647,FBXO21
IPI00025663,RBM11
IPI00025671,DSCR6
IPI00025673,C21orf32
IPI00025679,SIK1
IPI00025683,TACC1
IPI00025685,RWDD2B
IPI00025695,CDC45
IPI00025698,LIMK2
IPI00025699,C20orf141
IPI00025700,CD6
IPI00025702,PRDM15
IPI00025705,FBXO24
IPI00025707,UBASH3A
IPI00025710,C21orf59
IPI00025712,C21orf7
IPI00025714,RIPK4
IPI00025717,MTX2
IPI00025721,COPS3
IPI00025724,SCAND1
IPI00025725,NDUFB1
IPI00025729,CAMLG
IPI00025730,OGG1
IPI00025732,LTBP4
IPI00025740,ABCC13
IPI00025743,ESRRG
IPI00025746,ANKRD54
IPI00025748,PAGE1
IPI00025753,DSG1
IPI00025767,HGF
IPI00025785,CSH1;CSH2
IPI00025786,BCL7A
IPI00025789,NEUROG3
IPI00025792,SUPT3H
IPI00025796,NDUFS3
IPI00025803,INSR
IPI00025804,FCER1G
IPI00025805,SP4
IPI00025807,SP3
IPI00025808,PTTG3P
IPI00025809,MGAT2
IPI00025810,CCND2
IPI00025812,CA11
IPI00025815,TARDBP
IPI00025816,EDN2
IPI00025817,CCND3
IPI00025818,GALNT1
IPI00025819,CAPN3
IPI00025820,IL11
IPI00025829,CYP2B6;CYP2B7P1
IPI00025830,WEE1
IPI00025831,CYP3A5
IPI00025839,HNF1A
IPI00025840,EFNA1
IPI00025842,RPS10P5
IPI00025846,DSC2
IPI00025849,ANP32A;ANP32AP1
IPI00025853,RLN1
IPI00025861,CDH1
IPI00025862,C4BPB
IPI00025864,BCHE
IPI00025866,DEFA4
IPI00025869,GLA
IPI00025874,RPN1
IPI00025878,MLN
IPI00025879,MYH1
IPI00025880,MYH7
IPI00025890,NAA25
IPI00025961,FAM135A
IPI00025974,CHMP4B
IPI00025976,DSTYK
IPI00025992,HAMP
IPI00025997,LOC440131
IPI00026001,CST9L
IPI00026015,SLC32A1
IPI00026031,C6orf72
IPI00026036,DPP8
IPI00026044,PIGU
IPI00026050,CLN5
IPI00026053,CLDN11
IPI00026054,MAPKAPK2
IPI00026058,LZTS1
IPI00026059,SNTB1
IPI00026065,NPY2R
IPI00026069,MIP
IPI00026087,BANF1
IPI00026089,SF3B1
IPI00026102,IL10
IPI00026104,IDS
IPI00026105,SCP2
IPI00026108,PLA2G4A
IPI00026111,TMCO1
IPI00026119,UBA1
IPI00026125,DNASE1L1
IPI00026126,SCGB2A1
IPI00026128,STX11
IPI00026154,PRKCSH
IPI00026156,HCLS1
IPI00026157,MTRF1
IPI00026165,ITGA10
IPI00026167,NHP2L1
IPI00026174,CCK
IPI00026179,CCL23
IPI00026182,CAPZA2
IPI00026183,CCL18
IPI00026185,CAPZB
IPI00026191,ALKBH8
IPI00026199,GPX3
IPI00026202,RPL18A
IPI00026209,PAX5
IPI00026214,FOXH1
IPI00026215,FEN1
IPI00026216,NPEPPS
IPI00026219,CPSF1
IPI00026221,CCL1
IPI00026224,IRF8
IPI00026228,GPR12
IPI00026230,HNRNPH2
IPI00026233,CCDC71
IPI00026237,MAG
IPI00026240,BST1
IPI00026241,BST2
IPI00026244,HLA-DOA
IPI00026245,NHLH1
IPI00026246,NHLH2
IPI00026249,ZNF117
IPI00026250,RARB
IPI00026256,FLG
IPI00026260,NME1;NME2;NME1-NME2
IPI00026262,RASA1
IPI00026268,GNB1
IPI00026270,CPM
IPI00026271,RPS14
IPI00026272,HIST1H2AE;HIST1H2AB;HIST1H2AD;HIST1H2AG;HIST1H2AK;HIST1H2AL;HIST1H2AM;HIST1H2AJ;HIST1H2AI
IPI00026277,ZBTB7B
IPI00026285,ST8SIA3
IPI00026288,IGF1R
IPI00026293,OR2H1
IPI00026296,OR11A1
IPI00026299,GYPC
IPI00026302,RPL31
IPI00026303,PI15
IPI00026305,HOOK1
IPI00026307,CDC40
IPI00026309,GMNN
IPI00026310,BPESC1
IPI00026314,GSN
IPI00026317,ZBTB7A
IPI00026320,UBR5
IPI00026321,GFM1
IPI00026323,OR8D2
IPI00026328,TXNDC12
IPI00026336,RANBP3
IPI00026337,RANBP3
IPI00026338,ZFYVE9
IPI00026347,NPFFR1
IPI00026358,GABARAPL2
IPI00026359,CAB39L
IPI00026370,WNT10A
IPI00026407,FGF23
IPI00026430,SEPT4
IPI00026444,PRLH
IPI00026445,POLR1B
IPI00026448,MFF
IPI00026452,TNFRSF17
IPI00026461,CHRNA10
IPI00026466,NIPBL
IPI00026482,SPINT3
IPI00026486,GRHPR
IPI00026492,GCAT
IPI00026496,NPM3
IPI00026497,PARP2
IPI00026498,CX3CR1
IPI00026512,ERAL1
IPI00026513,RPIA
IPI00026514,XG
IPI00026516,OXCT1
IPI00026519,PPIF
IPI00026520,TM4SF1
IPI00026524,ZNF700
IPI00026530,LMAN1
IPI00026533,TET2
IPI00026534,BDKRB2
IPI00026538,SH3BGR
IPI00026539,RGR
IPI00026544,GBP3
IPI00026546,PAFAH1B2
IPI00026554,ACCN5
IPI00026555,TRMU
IPI00026559,USF1
IPI00026564,MTNR1B
IPI00026569,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00026570,COX7A2
IPI00026573,UCP2
IPI00026574,OGG1
IPI00026580,OFD1
IPI00026590,DRD2
IPI00026602,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00026606,SURF6
IPI00026612,PPM1B
IPI00026620,KRTAP5-8
IPI00026625,NUP155
IPI00026627,RP2
IPI00026631,GABRA2
IPI00026634,WDR45
IPI00026635,FICD
IPI00026637,GAL
IPI00026638,SYT13
IPI00026639,GABRB2
IPI00026641,SCTR
IPI00026646,FCGRT
IPI00026647,PTP4A3
IPI00026650,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00026651,OR3A1
IPI00026655,OR1E2
IPI00026661,OR3A2
IPI00026663,ALDH1A3
IPI00026664,PLA2G5
IPI00026666,HTR5A
IPI00026668,SLC22A18AS
IPI00026669,UBL3
IPI00026670,TCEB2
IPI00026673,CUX1
IPI00026688,RNF112
IPI00026689,CDK1
IPI00026691,SLMAP
IPI00026697,ZMYM6
IPI00026771,SNX29
IPI00026781,FASN
IPI00026790,POU3F4
IPI00026791,CDK8
IPI00026795,ATAT1
IPI00026800,SCRG1
IPI00026801,GJB3
IPI00026802,GPX5
IPI00026813,FNTA
IPI00026815,UCP3
IPI00026817,FNTB
IPI00026823,AVPR2
IPI00026824,HMOX2
IPI00026825,P2RY1
IPI00026826,AVPR1B
IPI00026828,TRIM9
IPI00026829,DHPS
IPI00026833,ADSS
IPI00026836,MAPT
IPI00026846,SLC6A1
IPI00026848,LRPAP1
IPI00026850,TSPO
IPI00026858,GDNF
IPI00026864,ID4
IPI00026872,ADORA1
IPI00026881,GRPR
IPI00026886,OXTR
IPI00026889,DAB1
IPI00026892,MT4
IPI00026900,MYC
IPI00026904,ADSL
IPI00026909,PPY2
IPI00026910,PYY2
IPI00026926,GUCA2A
IPI00026927,TMEM147
IPI00026928,GRAP2
IPI00026932,UGT2B17
IPI00026940,NUP50
IPI00026941,PRSS23
IPI00026942,ERLIN2
IPI00026944,NID1
IPI00026946,NPTX2
IPI00026952,PKP3
IPI00026957,WBP4
IPI00026958,FDXR
IPI00026962,PLA2G2A
IPI00026964,UQCRFS1
IPI00026965,UBE2D3
IPI00026969,SEC23IP
IPI00026970,SUPT16H
IPI00026973,FZD10
IPI00026975,CD163L1
IPI00026976,CDC14B
IPI00026977,CDC14B
IPI00026979,XCL1
IPI00026984,IRAK3
IPI00026987,DUSP10
IPI00026991,GALNT6
IPI00026993,RNF2
IPI00026994,PRAF2
IPI00027003,GPR176
IPI00027007,NCF1C
IPI00027009,PACSIN2
IPI00027011,SLC6A14
IPI00027012,HRH3
IPI00027013,TP53TG1
IPI00027014,DCTN3
IPI00027019,PRR4
IPI00027024,KLF12
IPI00027028,PNMA2
IPI00027032,LYPLA2
IPI00027034,ECD
IPI00027035,GPN1
IPI00027038,VSIG4
IPI00027045,TYRL
IPI00027078,CPD
IPI00027082,EPN1
IPI00027086,ERI2
IPI00027090,B4GALT3
IPI00027096,MRPL19
IPI00027107,TUFM
IPI00027120,CDC34
IPI00027139,INPP1
IPI00027142,POP7
IPI00027144,CYB561
IPI00027146,GLUD2
IPI00027151,ZNF189
IPI00027152,CENPA
IPI00027162,LECT1
IPI00027165,PKLR
IPI00027166,TIMP2
IPI00027169,CIB2
IPI00027172,CLIP1
IPI00027174,FGFR3
IPI00027175,SRI
IPI00027176,KLF7
IPI00027178,AP1G2
IPI00027180,ZMPSTE24
IPI00027181,SC5DL
IPI00027189,FCAR
IPI00027190,GJB1
IPI00027191,SAA3P
IPI00027192,PLOD1
IPI00027193,CLIC5
IPI00027194,STX18
IPI00027200,NPR1
IPI00027201,MUC2
IPI00027202,ZFY
IPI00027205,TAS2R3
IPI00027212,INSRR
IPI00027213,TAS2R4
IPI00027216,TAS2R16
IPI00027217,PARD6A
IPI00027219,CKLF-CMTM1;CKLF
IPI00027220,CDON
IPI00027223,IDH1
IPI00027228,PET112
IPI00027230,HSP90B1
IPI00027232,IGF1R
IPI00027233,SCO1
IPI00027234,CYP7B1
IPI00027235,ATRN
IPI00027239,TNFSF13;TNFSF12-TNFSF13;TNFSF12
IPI00027240,GNG5
IPI00027242,GUCY2D
IPI00027243,GNA15
IPI00027248,TUSC2
IPI00027250,GABBR2
IPI00027251,STK38
IPI00027252,PHB2
IPI00027253,GABARAP
IPI00027255,MYL6B
IPI00027258,SYNPO
IPI00027259,HOXB3
IPI00027261,HOXB2
IPI00027264,CALB2
IPI00027269,CBL
IPI00027270,RPL26
IPI00027272,BRCA1
IPI00027277,BRCA1
IPI00027280,TOP2B
IPI00027281,SLC2A4
IPI00027285,SNRPB
IPI00027286,TYR
IPI00027310,MEGF8
IPI00027327,DEFB103B;DEFB103A
IPI00027329,DBX1
IPI00027341,CAPG
IPI00027342,CAP2
IPI00027343,DCT
IPI00027350,PRDX2
IPI00027356,ADCY8
IPI00027377,ACAN
IPI00027378,UBXN1
IPI00027380,DGKI
IPI00027381,LY75
IPI00027382,PAK3
IPI00027385,RGS9
IPI00027391,RHO
IPI00027397,HN1L
IPI00027409,PRTN3
IPI00027410,GP5
IPI00027411,CEACAM3
IPI00027412,CEACAM6
IPI00027415,DHX36
IPI00027416,BBOX1
IPI00027422,ITGB4
IPI00027423,PPP1CA
IPI00027424,GK3P;GK
IPI00027429,FABP7
IPI00027430,SPN
IPI00027434,RHOC
IPI00027436,NGFR
IPI00027437,TSPAN9
IPI00027438,FLOT1
IPI00027439,CDK2AP2
IPI00027442,AARS
IPI00027443,CARS
IPI00027444,SERPINB1
IPI00027445,HARS2
IPI00027448,ATP5L
IPI00027451,GLI1
IPI00027452,SLC2A5
IPI00027454,NR4A1
IPI00027456,SNAPC5
IPI00027457,C1QL1
IPI00027461,CREB5
IPI00027462,S100A9
IPI00027463,S100A6
IPI00027464,PPP3R1
IPI00027466,CA4
IPI00027473,CHRM2
IPI00027474,CHRM4
IPI00027481,ABCB1
IPI00027482,SERPINA6
IPI00027484,CD2
IPI00027485,EIF4E
IPI00027486,CEACAM5
IPI00027487,CKM
IPI00027489,FUT2
IPI00027491,FCER2
IPI00027492,GCH1
IPI00027493,SLC3A2
IPI00027497,GPI
IPI00027502,GP9
IPI00027505,ITGAV
IPI00027506,EVI2A
IPI00027507,CFHR3
IPI00027508,IL1R1
IPI00027509,MMP9
IPI00027534,HSFY2;HSFY1
IPI00027547,DCD
IPI00027554,SLC35D1
IPI00027556,MS4A6A
IPI00027563,ZNF382
IPI00027569,HNRNPCL1
IPI00027596,SFRP2
IPI00027599,DDX19B
IPI00027604,CD96
IPI00027605,MYCNOS
IPI00027626,CCT6A
IPI00027627,TNFAIP8
IPI00027628,IL33
IPI00027634,CXorf41
IPI00027637,MPL
IPI00027642,KDM4C
IPI00027658,DGKG
IPI00027666,CCKAR
IPI00027667,CCKBR
IPI00027668,CD79B
IPI00027680,VIPR1
IPI00027681,NNMT
IPI00027682,OTX1
IPI00027683,OTX2
IPI00027684,MC4R
IPI00027685,CCR1
IPI00027686,BRS3
IPI00027687,CCR7
IPI00027688,GPR183
IPI00027692,TTPA
IPI00027693,SP140L
IPI00027694,HOXA1
IPI00027699,PSMD10
IPI00027701,ACADS
IPI00027702,EVX1
IPI00027703,MAN2A2
IPI00027704,PRIM1
IPI00027705,PRIM2
IPI00027713,CREB1
IPI00027717,GEMIN4
IPI00027718,EVC
IPI00027720,PNLIP
IPI00027721,PDGFRA
IPI00027722,CELA2A
IPI00027723,CELA2B
IPI00027725,CASP4
IPI00027726,KLF3
IPI00027728,SLC7A1
IPI00027729,CSNK1E
IPI00027730,STAR
IPI00027733,GABARAPL1
IPI00027737,GSDMC
IPI00027741,NFKBIZ
IPI00027744,NR3C2
IPI00027745,GUSB
IPI00027754,CXCR3
IPI00027755,PRLHR
IPI00027756,GPR15
IPI00027758,FAM110A
IPI00027761,DNAL1
IPI00027763,SLC25A16
IPI00027765,RTBDN
IPI00027769,ELANE
IPI00027770,SYP
IPI00027771,UCK1
IPI00027773,TMUB1
IPI00027774,THAP2
IPI00027776,FECH
IPI00027778,NUDT12
IPI00027779,SOX7
IPI00027780,MMP2
IPI00027781,RTP3
IPI00027782,MMP3
IPI00027783,LUZP3P
IPI00027788,TMEM47
IPI00027790,AMMECR1L
IPI00027794,C11orf68
IPI00027798,FAM103A1
IPI00027799,FAM107B
IPI00027800,CCDC3
IPI00027801,FBXW10
IPI00027802,MS4A8B
IPI00027803,PARP9
IPI00027804,SSTR1
IPI00027805,KCNK17
IPI00027806,CRISPLD1
IPI00027807,SSTR2
IPI00027808,POLR2B
IPI00027809,PPP3CB
IPI00027812,C12orf32
IPI00027814,CALN1
IPI00027818,IFT81
IPI00027819,NRIP2
IPI00027820,ESPN
IPI00027821,CRISPLD2
IPI00027823,FAM57B
IPI00027826,SLC25A18
IPI00027827,SOD3
IPI00027828,POU2F1
IPI00027830,MARVELD1
IPI00027831,GRWD1
IPI00027834,HNRNPL
IPI00027838,RBM4B
IPI00027839,CRH
IPI00027843,PROZ
IPI00027846,MMP8
IPI00027847,LPL
IPI00027848,MRC1
IPI00027851,HEXA
IPI00027855,CALCA
IPI00027860,HTRA4
IPI00027862,HTRA3
IPI00027875,SYT11
IPI00027882,ABCA10
IPI00027883,MAST1
IPI00027884,LOC100133319
IPI00027887,PDRG1
IPI00027898,FAM207A
IPI00027909,DNAJC25
IPI00027911,SLC12A9
IPI00027914,NR4A1
IPI00027933,PSMB10
IPI00027947,CTRL
IPI00027952,RHOJ
IPI00027955,CXCR5
IPI00027963,PSRC1
IPI00027967,ZNF500
IPI00027968,FOXN2
IPI00027969,VHL
IPI00027970,PCBP3
IPI00027971,ARL4D
IPI00027972,LILRA2
IPI00027973,PCBP4
IPI00027976,GGTLC1
IPI00027977,TMPRSS3
IPI00027983,CDA
IPI00027984,DNAJC11
IPI00027987,CARD18
IPI00027988,CTCF
IPI00027993,RAB25
IPI00027996,CORO7
IPI00027997,TCTA
IPI00027998,CLDN2
IPI00027999,CTLA4
IPI00028003,COX7B
IPI00028004,PSMB3
IPI00028005,NUP107
IPI00028006,PSMB2
IPI00028015,LAIR1
IPI00028027,GSDMD
IPI00028030,COMP
IPI00028031,ACADVL
IPI00028040,FADS3
IPI00028050,EEFSEC
IPI00028051,VPS41
IPI00028053,GJA9
IPI00028055,TMED10
IPI00028056,TSKS
IPI00028059,NUMB
IPI00028061,CLK1
IPI00028064,CTSG
IPI00028065,NCK1
IPI00028068,SLC25A19
IPI00028071,CLK2
IPI00028074,PGF
IPI00028075,VEGFB
IPI00028076,VEGFC
IPI00028077,PSEN1
IPI00028078,KCNK10
IPI00028080,CHRNB4
IPI00028082,RECK
IPI00028083,EIF2B2
IPI00028089,CABP4
IPI00028091,ACTR3
IPI00028093,HTR1F
IPI00028095,FHIT
IPI00028096,IDO1
IPI00028098,CCND1
IPI00028099,CHM
IPI00028108,RGS19
IPI00028109,DPY30
IPI00028112,RGS4
IPI00028116,KDELR1
IPI00028117,OR1E1
IPI00028118,OR10J1
IPI00028120,EPB42
IPI00028122,PSIP1
IPI00028123,DMTF1
IPI00028127,ETS1
IPI00028132,GNRHR
IPI00028134,KCNA2
IPI00028135,CDH19
IPI00028147,ACE
IPI00028150,NTSR1
IPI00028151,HES4
IPI00028152,POLD4
IPI00028155,G6PC2
IPI00028156,SNURF
IPI00028158,NTS
IPI00028159,CXCR4
IPI00028160,HMBS
IPI00028161,NKX6-2
IPI00028167,DNAJC14
IPI00028171,APOL4
IPI00028177,PRUNE
IPI00028183,PFDN5
IPI00028193,KNDC1
IPI00028195,MAPKAP1
IPI00028199,GSX1
IPI00028203,OR2F2
IPI00028213,SEMA3D
IPI00028229,UGT2A3
IPI00028232,FGF4
IPI00028233,OR2A4
IPI00028239,INMT
IPI00028242,LOC390940
IPI00028264,EXOC8
IPI00028266,CCNB2
IPI00028268,KCNK2
IPI00028270,CEACAM7
IPI00028275,CKAP5
IPI00028276,UNK
IPI00028277,FTO
IPI00028279,TSPYL5
IPI00028280,DOK3
IPI00028290,ALX3
IPI00028296,CAMK1
IPI00028306,DIXDC1
IPI00028312,CLN3
IPI00028318,PHACTR1
IPI00028321,PMCHL2
IPI00028323,TAS2R9
IPI00028325,TAS2R8
IPI00028328,TAS2R7
IPI00028332,TAS2R13
IPI00028338,EPT1
IPI00028339,NKX2-2
IPI00028344,BRSK2
IPI00028347,FBXO31
IPI00028349,TAS2R10
IPI00028350,TAS2R14
IPI00028357,XPO4
IPI00028359,SH3BP5L
IPI00028366,SETD7
IPI00028369,KIAA1715
IPI00028376,TIMM8A
IPI00028377,SSX4;SSX4B
IPI00028378,SSX5
IPI00028379,ZNF747
IPI00028381,DLK2
IPI00028382,KALRN
IPI00028383,FAM173A
IPI00028387,DDRGK1
IPI00028390,MRPL34
IPI00028391,ZNF436
IPI00028392,C1orf116
IPI00028412,SSSCA1
IPI00028413,ITIH3
IPI00028414,GMFG
IPI00028415,PBX1
IPI00028416,PBX2
IPI00028417,PBX3
IPI00028418,LRRC61
IPI00028419,BNIP3L
IPI00028428,DUSP16
IPI00028431,MOSPD3
IPI00028438,CMIP
IPI00028444,PLIN1
IPI00028448,BAI3
IPI00028449,HS6ST1
IPI00028450,SLC8A1
IPI00028451,SOX15
IPI00028457,RGS7
IPI00028464,KLHL4
IPI00028480,IL19
IPI00028481,RAB8A
IPI00028482,ATP5G2
IPI00028483,FGF17
IPI00028484,KLK8
IPI00028491,AGPAT5
IPI00028492,THSD7B
IPI00028493,TSC2
IPI00028501,LRRC27
IPI00028509,GNG7
IPI00028513,ADCY3
IPI00028514,FOLH1
IPI00028516,KIAA0513
IPI00028517,RAB33A
IPI00028518,GPRIN2
IPI00028520,NDUFV1
IPI00028526,RNLS
IPI00028539,CYLC2
IPI00028541,CCNI
IPI00028547,ARFRP1
IPI00028549,ARFRP1
IPI00028553,MINPP1
IPI00028559,CTLA4
IPI00028561,KIF5C
IPI00028564,GBP1
IPI00028565,GBP2
IPI00028566,NUAK1
IPI00028570,GSK3B
IPI00028571,STK19
IPI00028579,TAF6
IPI00028588,ProSAPiP1
IPI00028594,C20orf144
IPI00028600,KLK7
IPI00028601,MT1P3
IPI00028602,GZMK
IPI00028610,ATP7A
IPI00028611,NR2F2
IPI00028613,PCDHGA12
IPI00028615,PCDHGB1
IPI00028616,PCDHGB2
IPI00028617,PCDHGB3
IPI00028618,MGMT
IPI00028619,PCDHGB4
IPI00028623,SULT1E1
IPI00028624,PCDHGB5
IPI00028625,PCDHGB6
IPI00028627,OCA2
IPI00028634,DIO1
IPI00028635,RPN2
IPI00028640,PRLR
IPI00028641,PPP1R12B
IPI00028642,TSHR
IPI00028643,PPP1R12B
IPI00028645,PPP1R12B
IPI00028648,C20orf165
IPI00028670,INHBA
IPI00028685,VSTM2L
IPI00028695,ARSD
IPI00028704,C20orf78;LOC100128496
IPI00028714,MGP
IPI00028718,FNBP1L
IPI00028722,SS18L1
IPI00028723,GDAP1L1
IPI00028739,NPHP1
IPI00028746,LOC100128175
IPI00028762,NINL
IPI00028778,VNN3
IPI00028783,WFDC6
IPI00028786,PKD1
IPI00028790,MRPS21
IPI00028793,PPP1R8
IPI00028828,ZNF202
IPI00028833,ZNF160
IPI00028857,PRO1167
IPI00028862,NXPH2
IPI00028864,NXPH3
IPI00028870,RAD52
IPI00028872,TMCO2
IPI00028879,NAAA
IPI00028880,POLN
IPI00028881,NDUFA3
IPI00028883,NDUFB8
IPI00028888,HNRNPD
IPI00028889,TOB2
IPI00028902,C16orf3
IPI00028904,NDUFB2
IPI00028908,NID2
IPI00028910,DPYS
IPI00028911,DAG1
IPI00028912,VEZF1
IPI00028915,CACNA1H
IPI00028928,PDE1C
IPI00028931,DSG2
IPI00028932,MAST3
IPI00028935,DGCR6
IPI00028937,OAZ2
IPI00028946,RTN3
IPI00028954,MCM3AP
IPI00028955,BOP1
IPI00028957,UBE4A
IPI00028973,FAM189A1
IPI00028974,SERTAD2
IPI00028980,URB2
IPI00028992,NDUFA5
IPI00029002,SFT2D2
IPI00029009,PIP5K1C
IPI00029011,KIF1B
IPI00029012,EIF3A
IPI00029013,FAM53B
IPI00029014,KIAA0141
IPI00029015,KDSR
IPI00029019,UBAP2L
IPI00029021,KIAA0146
IPI00029023,ZNF627
IPI00029028,FHL1
IPI00029039,REG3A
IPI00029041,PACS2
IPI00029045,IKBKE
IPI00029046,MLEC
IPI00029048,TTLL12
IPI00029050,LARGE
IPI00029053,SMCP
IPI00029054,NT5C2
IPI00029056,SEPHS1
IPI00029061,SEPP1
IPI00029073,NUPR1
IPI00029074,CACNG3
IPI00029075,ZNF165
IPI00029079,GMPS
IPI00029081,LIG3
IPI00029084,SPIN2B
IPI00029086,CDKN1C
IPI00029095,TFDP1
IPI00029096,TFDP2
IPI00029097,ADAM28
IPI00029099,FAM69A
IPI00029104,GADD45A
IPI00029105,SIM2
IPI00029107,WRN
IPI00029111,DPYSL3
IPI00029112,ADAM29
IPI00029113,ADAM29
IPI00029114,ICT1
IPI00029116,EDA2R
IPI00029123,EDNRB
IPI00029127,GDF9
IPI00029129,ZNF861P
IPI00029131,PCSK2
IPI00029132,BTK
IPI00029133,ATP5F1
IPI00029136,PLAC1
IPI00029140,CRAT
IPI00029143,GNB3
IPI00029144,PPP2R3A
IPI00029148,COX7A2P2
IPI00029149,DNAJC12
IPI00029151,IL21
IPI00029155,SIGIRR
IPI00029159,MRE11A
IPI00029162,CDK13
IPI00029166,EMX2
IPI00029168,LPA
IPI00029170,CCDC88C
IPI00029174,TGIF2
IPI00029175,KIAA0196
IPI00029178,BACH2
IPI00029180,SLC5A7
IPI00029184,HAPLN2
IPI00029193,HGFAC
IPI00029196,PRKCQ
IPI00029203,CCDC81
IPI00029218,CRISP2
IPI00029219,ACVR1
IPI00029225,CETN1
IPI00029227,LOC93622
IPI00029235,IGFBP6
IPI00029236,IGFBP5
IPI00029239,L2HGDH
IPI00029244,ANAPC13
IPI00029250,RPE65
IPI00029251,PLA2G1B
IPI00029260,CD14
IPI00029263,FER
IPI00029264,CYC1
IPI00029266,SNRPE
IPI00029267,SNRPB2
IPI00029268,SLC3A1
IPI00029273,MET
IPI00029275,MFI2
IPI00029278,ADRB1
IPI00029300,UBE2W
IPI00029307,HNMT
IPI00029308,SSX3
IPI00029309,INPP4B
IPI00029324,MID1
IPI00029337,SLC39A3
IPI00029343,CNTNAP2
IPI00029356,NSMCE4A
IPI00029372,HAUS3
IPI00029377,ZNF205
IPI00029397,LEPROTL1
IPI00029400,ZRANB2
IPI00029402,CASD1
IPI00029403,SNX4
IPI00029411,OR5F1
IPI00029412,OR6A2
IPI00029418,GPR162
IPI00029419,HFE
IPI00029422,KIF20A
IPI00029437,KIF9
IPI00029444,C12orf10
IPI00029447,GOSR1
IPI00029449,VANGL2
