Accession,Protein
IPI00024248,Q92911
IPI00024249,P61328
IPI00024251,Q92913
IPI00024252,Q92914
IPI00024253,Q92915
IPI00024254,O14879
IPI00024255,Q92917
IPI00024263,Q15573
IPI00024266,O14880
IPI00024272,P98153
IPI00024273,P98155
IPI00024278,O60706
IPI00024279,Q9H583
IPI00024281,O14893
IPI00024282,Q92930
IPI00024283,Q8IWB7
IPI00024284,P98160
IPI00024287,O14894
IPI00024290,O14896
IPI00024291,Q92934
IPI00024292,P98164
IPI00024293,Q92935
IPI00024295,P98168
IPI00024297,P98169
IPI00024305,P84022
IPI00024307,P98172
IPI00024312,P98174
IPI00024316,P98177
IPI00024317,Q92947
IPI00024319,Q92949
IPI00024320,P98179
IPI00024330,Q92953
IPI00024331,Q92956
IPI00024332,P98187
IPI00024338,Q9H3Y0
IPI00024346,Q92966
IPI00024348,Q92968
IPI00024357,O75106
IPI00024364,Q92973
IPI00024368,O75110
IPI00024379,Q92985
IPI00024380,Q92988
IPI00024381,Q92989
IPI00024386,P55316
IPI00024388,P55318
IPI00024401,Q92995
IPI00024403,O75131
IPI00024406,Q16363
IPI00024413,Q9UQ88
IPI00024414,Q9UQ88
IPI00024417,O75146
IPI00024422,Q02108
IPI00024426,O75154
IPI00024427,P55344
IPI00024441,P0CK97
IPI00024462,Q02127
IPI00024466,Q9NYU2
IPI00024467,Q9NYU1
IPI00024495,Q9P0V8
IPI00024497,Q9NNX1
IPI00024498,Q8TC05
IPI00024500,Q9NR00
IPI00024502,Q9NRR5
IPI00024521,Q9NRX6
IPI00024522,Q9NRX3
IPI00024523,O75190
IPI00024524,Q9NRX1
IPI00024525,Q9NRJ5
IPI00024528,Q9UPM9
IPI00024539,Q02156
IPI00024540,Q9NR46
IPI00024542,Q9P2Z0
IPI00024547,Q9H3L0
IPI00024551,Q9NPA0
IPI00024561,Q9Y5Z0
IPI00024566,Q9NS00
IPI00024567,Q9NZM5
IPI00024568,Q9NZM4
IPI00024569,Q53S99
IPI00024570,Q9NS98
IPI00024572,Q12797
IPI00024578,Q9NZ20
IPI00024579,Q9NS91
IPI00024580,Q96RQ3
IPI00024581,Q9HBY0
IPI00024584,Q9NQU5
IPI00024587,Q9NYX4
IPI00024598,Q9NYR8
IPI00024601,Q9NS85
IPI00024602,Q9NRQ5
IPI00024603,Q9BZC1
IPI00024604,Q9NQR7
IPI00024617,Q9NRW4
IPI00024618,Q96FZ2
IPI00024619,Q9NRP2
IPI00024620,Q9NPA8
IPI00024621,Q9NRN5
IPI00024623,P45954
IPI00024627,Q9GZY8
IPI00024641,Q9NRG4
IPI00024642,Q96A33
IPI00024644,Q9NRG1
IPI00024648,Q9NQ76
IPI00024650,P53985
IPI00024657,P12544
IPI00024658,Q6GQQ9
IPI00024660,P53990
IPI00024661,P53992
IPI00024662,P45973
IPI00024664,P45974
IPI00024670,Q00765
IPI00024672,P45983
IPI00024673,P45984
IPI00024674,P45985
IPI00024683,P04554
IPI00024684,P20592
IPI00024685,P20594
IPI00024686,P29965
IPI00024689,P29972
IPI00024692,O14901
IPI00024698,O60828
IPI00024700,C9JL84
IPI00024701,Q9Y5P4
IPI00024704,Q9Y2C2
IPI00024705,O14908
IPI00024706,Q9H3E2
IPI00024709,O14920
IPI00024710,O14921
IPI00024713,Q9Y2C4
IPI00024714,O14924
IPI00024719,O14929
IPI00024727,O14939
IPI00024733,O95267
IPI00024734,O96015
IPI00024740,Q8IY57
IPI00024741,O14944
IPI00024742,O14949
IPI00024752,O75596
IPI00024754,Q8IZP9
IPI00024757,O14957
IPI00024766,O60486
IPI00024770,O14960
IPI00024773,Q9Y4F1
IPI00024775,O14966
IPI00024776,O14967
IPI00024781,P84101
IPI00024787,O14975
IPI00024801,Q9H4P4
IPI00024802,O14981
IPI00024804,O14983
IPI00024811,O60487
IPI00024816,Q9GZY8
IPI00024818,Q5W0Q7
IPI00024821,O00487
IPI00024825,Q92954
IPI00024826,O15194
IPI00024853,Q9BXM0
IPI00024856,Q6NUP7
IPI00024871,Q13951
IPI00024880,Q9NQ36
IPI00024884,Q9H3Y6
IPI00024886,P22003
IPI00024887,P22004
IPI00024893,Q8N653
IPI00024896,P30039
IPI00024900,Q9Y2G9
IPI00024911,P30040
IPI00024913,P30042
IPI00024915,P30044
IPI00024919,P30048
IPI00024920,P30049
IPI00024925,O75264
IPI00024929,Q9H6B4
IPI00024933,P30050
IPI00024934,P22033
IPI00024938,Q9NPU4
IPI00024959,Q9H1Q7
IPI00024966,Q02246
IPI00024969,Q9NRJ1
IPI00024971,P22059
IPI00024972,Q9NRR8
IPI00024973,Q9NRR3
IPI00024975,Q9NS87
IPI00024976,Q9NS69
IPI00024983,O75298
IPI00024990,Q02252
IPI00024993,P30084
IPI00024994,Q9NRJ4
IPI00024995,P06028
IPI00025001,Q9NSA3
IPI00025019,P20618
IPI00025023,P22079
IPI00025025,Q3LIE5
IPI00025039,P22087
IPI00025049,P20645
IPI00025050,Q9UGM6
IPI00025052,Q15485
IPI00025057,P55265
IPI00025058,P55265
IPI00025062,P14091
IPI00025069,P12643
IPI00025071,P61371
IPI00025073,P12645
IPI00025074,P04628
IPI00025076,P04629
IPI00025081,Q9HD47
IPI00025084,P04632
IPI00025086,P20674
IPI00025087,P04637
IPI00025091,P62280
IPI00025092,Q00872
IPI00025098,Q00889
IPI00025100,P12694
IPI00025110,Q13421
IPI00025115,P59780
IPI00025142,O95976
IPI00025155,O95633
IPI00025156,Q9UNE7
IPI00025158,Q8WVM7
IPI00025160,Q08AM6
IPI00025174,Q6UX04
IPI00025176,O75940
IPI00025178,O75934
IPI00025190,O95996
IPI00025202,O95466
IPI00025204,O43866
IPI00025239,O75306
IPI00025240,O75309
IPI00025242,O75310
IPI00025243,O75311
IPI00025244,O75312
IPI00025252,P30101
IPI00025255,O75324
IPI00025256,O75325
IPI00025257,O75326
IPI00025273,P22102
IPI00025275,P22103
IPI00025276,P22105
IPI00025277,O75340
IPI00025278,O75342
IPI00025279,O75343
IPI00025280,O75344
IPI00025285,O75348
IPI00025292,O75352
IPI00025295,O75354
IPI00025297,O75355
IPI00025307,Q02318
IPI00025308,O75360
IPI00025311,O75363
IPI00025313,O75364
IPI00025318,O75368
IPI00025323,Q49MG5
IPI00025329,P84098
IPI00025331,Q9P2U7
IPI00025333,Q6FI81
IPI00025339,O00587
IPI00025340,Q96GD0
IPI00025341,Q02338
IPI00025344,O75380
IPI00025345,Q9UHC3
IPI00025346,O75381
IPI00025347,Q92979
IPI00025353,O75386
IPI00025357,O75388
IPI00025363,P14136
IPI00025365,P14138
IPI00025366,O75390
IPI00025380,P20701
IPI00025382,P06126
IPI00025383,P06127
IPI00025387,Q9Y5Z6
IPI00025394,P20711
IPI00025400,P20718
IPI00025415,Q02383
IPI00025416,P63267
IPI00025417,Q02386
IPI00025418,Q02388
IPI00025426,P20742
IPI00025427,P12724
IPI00025442,Q58EX7
IPI00025460,P04731
IPI00025461,P04732
IPI00025463,Q8WV24
IPI00025464,P04733
IPI00025465,P20774
IPI00025468,P12757
IPI00025473,Q00973
IPI00025474,P20783
IPI00025476,P04746
IPI00025477,Q00975
IPI00025478,Q00978
IPI00025489,P20794
IPI00025491,P60842
IPI00025492,Q00994
IPI00025499,P10636
IPI00025510,Q9H819
IPI00025512,P04792
IPI00025546,Q14872
IPI00025616,P49005
IPI00025622,O76080
IPI00025625,Q95460
IPI00025628,P49019
IPI00025646,Q9H981
IPI00025647,O94952
IPI00025663,P57052
IPI00025671,P57055
IPI00025673,P57056
IPI00025679,P57059
IPI00025683,O75410
IPI00025685,P57060
IPI00025695,O75419
IPI00025699,Q9NUB4
IPI00025700,P30203
IPI00025702,P57071
IPI00025705,O75426
IPI00025707,P57075
IPI00025710,P57076
IPI00025712,P57077
IPI00025714,P57078
IPI00025717,O75431
IPI00025718,P57081
IPI00025721,Q9UNS2
IPI00025724,P57086
IPI00025725,O75438
IPI00025729,P49069
IPI00025730,O15527
IPI00025740,Q9NSE7
IPI00025743,P62508
IPI00025746,Q6NXT1
IPI00025748,O75459
IPI00025753,Q02413
IPI00025767,P14210
IPI00025786,Q4VC05
IPI00025789,Q9Y4Z2
IPI00025792,O75486
IPI00025796,O75489
IPI00025803,P06213
IPI00025804,P30273
IPI00025805,Q02446
IPI00025807,Q02447
IPI00025808,Q9NZH4
IPI00025810,P30279
IPI00025812,O75493
IPI00025815,Q13148
IPI00025816,P20800
IPI00025817,P30281
IPI00025818,Q10472
IPI00025819,P20807
IPI00025820,P20809
IPI00025829,P20813
IPI00025830,P30291
IPI00025831,P20815
IPI00025839,P20823
IPI00025840,P20827
IPI00025842,Q9NQ39
IPI00025846,Q02487
IPI00025849,P39687
IPI00025853,P04808
IPI00025861,P12830
IPI00025862,P20851
IPI00025864,P06276
IPI00025866,P12838
IPI00025869,P06280
IPI00025874,P04843
IPI00025878,P12872
IPI00025879,P12882
IPI00025880,P12883
IPI00025890,Q14CX7
IPI00025961,Q9P2D6
IPI00025974,Q9H444
IPI00025976,Q6XUX3
IPI00025992,P81172
IPI00026001,Q9H4G1
IPI00026015,Q9H598
IPI00026031,Q9NU53
IPI00026036,Q6V1X1
IPI00026044,Q9H490
IPI00026053,O75508
IPI00026054,P49137
IPI00026058,Q9Y250
IPI00026059,Q13884
IPI00026065,P49146
IPI00026069,P30301
IPI00026087,O75531
IPI00026089,O75533
IPI00026102,P22301
IPI00026104,P22304
IPI00026105,P22307
IPI00026108,P47712
IPI00026111,Q9UM00
IPI00026125,P49184
IPI00026126,O75556
IPI00026128,O75558
IPI00026154,P14314
IPI00026156,P14317
IPI00026157,O75570
IPI00026165,O75578
IPI00026167,P55769
IPI00026174,P06307
IPI00026179,P55773
IPI00026182,P47755
IPI00026183,P55774
IPI00026185,P47756
IPI00026191,Q96BT7
IPI00026199,P22352
IPI00026202,Q02543
IPI00026209,Q02548
IPI00026214,O75593
IPI00026215,P39748
IPI00026216,P55786
IPI00026219,Q10570
IPI00026221,P22362
IPI00026224,Q02556
IPI00026228,P47775
IPI00026230,P55795
IPI00026233,Q8IV32
IPI00026237,P20916
IPI00026240,Q10588
IPI00026241,Q10589
IPI00026244,P06340
IPI00026245,Q02575
IPI00026246,Q02577
IPI00026249,Q03924
IPI00026256,P20930
IPI00026259,P20933
IPI00026260,P22392
IPI00026262,P20936
IPI00026268,P62873
IPI00026270,P14384
IPI00026271,P62263
IPI00026272,P04908
IPI00026277,O15156
IPI00026285,O43173
IPI00026293,Q9GZK4
IPI00026296,Q9GZK7
IPI00026299,P04921
IPI00026302,P62899
IPI00026303,O43692
IPI00026305,Q9UJC3
IPI00026307,O60508
IPI00026309,O75496
IPI00026310,Q9GZL8
IPI00026314,P06396
IPI00026317,O95365
IPI00026320,O95071
IPI00026323,Q9GZM6
IPI00026328,O95881
IPI00026337,Q9H6Z4
IPI00026338,O95405
IPI00026347,Q9GZQ6
IPI00026358,P60520
IPI00026359,Q9H9S4
IPI00026370,Q9GZT5
IPI00026407,Q9GZV9
IPI00026430,O43236
IPI00026444,P81277
IPI00026445,Q9H9Y6
IPI00026448,Q9GZY8
IPI00026461,Q9GZZ6
IPI00026466,Q6KC79
IPI00026482,P49223
IPI00026492,O75600
IPI00026496,O75607
IPI00026497,Q9UGN5
IPI00026498,P49238
IPI00026512,O75616
IPI00026513,P49247
IPI00026514,P55808
IPI00026516,P55809
IPI00026519,P30405
IPI00026524,Q9H0M5
IPI00026530,P49257
IPI00026533,Q6N021
IPI00026534,P30411
IPI00026538,P55822
IPI00026539,P47804
IPI00026546,P68402
IPI00026554,Q9NY37
IPI00026555,O75648
IPI00026559,P22415
IPI00026564,P49286
IPI00026569,P30443
IPI00026573,P55851
IPI00026574,O15527
IPI00026580,O75665
IPI00026590,P14416
IPI00026602,P30479
IPI00026606,O75683
IPI00026612,O75688
IPI00026620,O75690
IPI00026625,O75694
IPI00026627,O75695
IPI00026630,O75698
IPI00026631,P47869
IPI00026634,Q9Y484
IPI00026635,Q9BVA6
IPI00026637,P22466
IPI00026638,Q7L8C5
IPI00026639,P47870
IPI00026641,P47872
IPI00026646,P55899
IPI00026647,O75365
IPI00026650,P30499
IPI00026651,P47881
IPI00026652,P47883
IPI00026655,P47887
IPI00026661,P47893
IPI00026663,P47895
IPI00026664,P39877
IPI00026666,P47898
IPI00026668,Q8N1D0
IPI00026669,O95164
IPI00026670,Q15370
IPI00026673,P39880
IPI00026688,Q9ULX5
IPI00026689,P06493
IPI00026691,Q14BN4
IPI00026697,O95789
IPI00026781,P49327
IPI00026790,P49335
IPI00026791,P49336
IPI00026795,Q5SQI0
IPI00026800,O75711
IPI00026801,O75712
IPI00026802,O75715
IPI00026813,P49354
IPI00026815,P55916
IPI00026817,P49356
IPI00026823,P30518
IPI00026824,P30519
IPI00026825,P47900
IPI00026826,P47901
IPI00026828,Q9C026
IPI00026829,P49366
IPI00026833,P30520
IPI00026836,P10636
IPI00026846,P30531
IPI00026848,P30533
IPI00026850,P30536
IPI00026858,P39905
IPI00026864,P47928
IPI00026872,P30542
IPI00026881,P30550
IPI00026886,P30559
IPI00026889,O75553
IPI00026892,P47944
IPI00026909,Q9NRI7
IPI00026910,Q9NRI6
IPI00026926,Q02747
IPI00026928,O75791
IPI00026932,O75795
IPI00026940,Q9UKX7
IPI00026941,O95084
IPI00026942,O94905
IPI00026944,P14543
IPI00026946,P47972
IPI00026952,Q9Y446
IPI00026957,O75554
IPI00026958,P22570
IPI00026962,P14555
IPI00026964,P47985
IPI00026965,P61077
IPI00026969,Q9Y6Y8
IPI00026970,Q9Y5B9
IPI00026973,Q9ULW2
IPI00026976,O60729
IPI00026977,O60729
IPI00026979,P47992
IPI00026984,Q9Y616
IPI00026987,Q9Y6W6
IPI00026991,Q8NCL4
IPI00026993,Q99496
IPI00026994,O60831
IPI00027003,Q14439
IPI00027007,A8MVU1
IPI00027009,Q9UNF0
IPI00027011,Q9UN76
IPI00027012,Q9Y5N1
IPI00027013,Q9Y2A0
IPI00027014,O75935
IPI00027019,Q16378
IPI00027024,Q9Y4X4
IPI00027028,Q9UL42
IPI00027032,O95372
IPI00027034,O95905
IPI00027035,Q9HCN4
IPI00027038,Q9Y279
IPI00027078,O75976
IPI00027082,Q9Y6I3
IPI00027086,A8K979
IPI00027096,P49406
IPI00027107,P49411
IPI00027120,P49427
IPI00027139,P49441
IPI00027142,O75817
IPI00027144,P49447
IPI00027146,P49448
IPI00027151,O75820
IPI00027152,P49450
IPI00027162,O75829
IPI00027165,P30613
IPI00027166,P16035
IPI00027169,O75838
IPI00027172,P30622
IPI00027174,P22607
IPI00027175,P30626
IPI00027176,O75840
IPI00027178,O75843
IPI00027180,O75844
IPI00027181,O75845
IPI00027189,P24071
IPI00027190,P08034
IPI00027191,P22614
IPI00027193,Q9NZA1
IPI00027194,Q9P2W9
IPI00027200,P16066
IPI00027201,Q02817
IPI00027202,P08048
IPI00027205,Q9NYW6
IPI00027212,P14616
IPI00027213,Q9NYW5
IPI00027216,Q9NYV7
IPI00027217,Q9NPB6
IPI00027219,Q9UBR5
IPI00027220,Q4KMG0
IPI00027223,O75874
IPI00027228,O75879
IPI00027230,P14625
IPI00027232,P08069
IPI00027233,O75880
IPI00027234,O75881
IPI00027235,O75882
IPI00027239,O75888
IPI00027240,P63218
IPI00027242,Q02846
IPI00027243,P30679
IPI00027248,O75896
IPI00027250,O75899
IPI00027251,Q15208
IPI00027252,Q99623
IPI00027253,O95166
IPI00027255,P14649
IPI00027258,Q8N3V7
IPI00027259,P14651
IPI00027261,P14652
IPI00027264,P22676
IPI00027269,P22681
IPI00027270,P61254
IPI00027277,P38398
IPI00027280,Q02880
IPI00027281,P14672
IPI00027285,P14678
IPI00027286,P14679
IPI00027310,Q7Z7M0
IPI00027327,P81534
IPI00027329,A6NMT0
IPI00027341,P40121
IPI00027342,P40123
IPI00027343,P40126
IPI00027350,P32119
IPI00027356,P40145
IPI00027378,Q04323
IPI00027380,O75912
IPI00027381,O60449
IPI00027382,O75914
IPI00027385,O75916
IPI00027391,P08100
IPI00027397,Q9H910
IPI00027409,P24158
IPI00027410,P40197
IPI00027411,P40198
IPI00027412,P40199
IPI00027415,Q9H2U1
IPI00027416,O75936
IPI00027422,P16144
IPI00027424,P32189
IPI00027430,P16150
IPI00027434,P08134
IPI00027436,P08138
IPI00027437,O75954
IPI00027438,O75955
IPI00027439,O75956
IPI00027442,P49588
IPI00027444,P30740
IPI00027445,P49590
IPI00027448,O75964
IPI00027451,P08151
IPI00027452,P22732
IPI00027456,O75971
IPI00027457,O75973
IPI00027461,Q02930
IPI00027462,P06702
IPI00027463,P06703
IPI00027464,P63098
IPI00027466,P22748
IPI00027473,P08172
IPI00027474,P08173
IPI00027481,P08183
IPI00027482,P08185
IPI00027484,P06729
IPI00027485,P06730
IPI00027486,P06731
IPI00027487,P06732
IPI00027489,Q10981
IPI00027491,P06734
IPI00027492,P30793
IPI00027493,P08195
IPI00027497,P06744
IPI00027502,P14770
IPI00027505,P06756
IPI00027506,P22794
IPI00027507,Q02985
IPI00027508,P14778
IPI00027509,P14780
IPI00027534,Q96LI6
IPI00027547,P81605
IPI00027554,Q9NTN3
IPI00027556,Q9H2W1
IPI00027563,Q96SR6
IPI00027569,O60812
IPI00027596,Q96HF1
IPI00027604,P40200
IPI00027605,P40205
IPI00027626,P40227
IPI00027627,O95379
IPI00027628,O95760
IPI00027634,Q9NQM4
IPI00027637,P40238
IPI00027642,Q9H3R0
IPI00027658,P49619
IPI00027666,P32238
IPI00027667,P32239
IPI00027668,P40259
IPI00027680,P32241
IPI00027681,P40261
IPI00027682,P32242
IPI00027683,P32243
IPI00027684,P32245
IPI00027685,P32246
IPI00027686,P32247
IPI00027687,P32248
IPI00027688,P32249
IPI00027692,P49638
IPI00027693,Q9H930
IPI00027694,P49639
IPI00027701,P16219
IPI00027702,P49640
IPI00027703,P49641
IPI00027704,P49642
IPI00027705,P49643
IPI00027713,P16220
IPI00027717,P57678
IPI00027718,P57679
IPI00027720,P16233
IPI00027721,P16234
IPI00027722,P08217
IPI00027723,P08218
IPI00027725,P49662
IPI00027726,P57682
IPI00027728,P30825
IPI00027729,P49674
IPI00027730,P49675
IPI00027733,Q9H0R8
IPI00027737,Q9BYG8
IPI00027741,Q9BYH8
IPI00027744,P08235
IPI00027745,P08236
IPI00027754,P49682
IPI00027755,P49683
IPI00027756,P49685
IPI00027758,Q9BQ89
IPI00027761,Q4LDG9
IPI00027763,P16260
IPI00027765,Q9BSG5
IPI00027769,P08246
IPI00027770,P08247
IPI00027771,Q9HA47
IPI00027773,Q9BVT8
IPI00027774,Q9H0W7
IPI00027776,P22830
IPI00027778,Q9BQG2
IPI00027779,Q9BT81
IPI00027780,P08253
IPI00027781,Q9BQQ7
IPI00027782,P08254
IPI00027788,Q9BQJ4
IPI00027790,Q6DCA0
IPI00027794,Q9H3H3
IPI00027798,Q9BTL3
IPI00027799,Q9H098
IPI00027800,Q9BQI4
IPI00027801,Q5XX13
IPI00027802,Q9BY19
IPI00027803,Q8IXQ6
IPI00027804,P30872
IPI00027805,Q96T54
IPI00027806,Q9H336
IPI00027807,P30874
IPI00027808,P30876
IPI00027812,Q9BSD3
IPI00027814,Q9BXU9
IPI00027818,Q8WYA0
IPI00027819,Q9BQI9
IPI00027820,B1AK53
IPI00027821,Q9H0B8
IPI00027823,Q71RH2
IPI00027826,Q9H1K4
IPI00027827,P08294
IPI00027830,Q9BSK0
IPI00027831,Q9BQ67
IPI00027834,P14866
IPI00027838,Q9BQ04
IPI00027839,P06850
IPI00027843,P22891
IPI00027846,P22894
IPI00027847,P06858
IPI00027848,P22897
IPI00027851,P06865
IPI00027855,P06881
IPI00027860,P83105
IPI00027862,P83110
IPI00027875,Q9BT88
IPI00027883,Q9Y2H9
IPI00027887,Q9NUG6
IPI00027898,Q9NSI2
IPI00027909,Q9H1X3
IPI00027911,Q9BXP2
IPI00027933,P40306
IPI00027952,Q9H4E5
IPI00027955,P32302
IPI00027963,Q6PGN9
IPI00027967,O60304
IPI00027968,P32314
IPI00027969,P40337
IPI00027970,P57721
IPI00027971,P49703
IPI00027972,Q8N149
IPI00027973,P57723
IPI00027976,Q9BX51
IPI00027977,P57727
IPI00027983,P32320
IPI00027987,P57730
IPI00027988,P49711
IPI00027993,P57735
IPI00027996,P57737
IPI00027997,P57738
IPI00027998,P57739
IPI00028003,P24311
IPI00028004,P49720
IPI00028005,P57740
IPI00028006,P49721
IPI00028015,Q6GTX8
IPI00028027,P57764
IPI00028030,P49747
IPI00028040,Q9Y5Q0
IPI00028050,P57772
IPI00028051,P49754
IPI00028053,P57773
IPI00028055,P49755
IPI00028056,Q9UJT2
IPI00028059,P49757
IPI00028061,P49759
IPI00028064,P08311
IPI00028065,P16333
IPI00028068,Q9HC21
IPI00028071,P49760
IPI00028074,P49763
IPI00028075,P49765
IPI00028076,P49767
IPI00028077,P49768
IPI00028078,P57789
IPI00028080,P30926
IPI00028082,O95980
IPI00028083,P49770
IPI00028089,P57796
IPI00028091,P61158
IPI00028093,P30939
IPI00028095,P49789
IPI00028096,P14902
IPI00028098,P24385
IPI00028099,P24386
IPI00028108,P49795
IPI00028109,Q9C005
IPI00028112,P49798
IPI00028116,P24390
IPI00028117,P30953
IPI00028118,P30954
IPI00028120,P16452
IPI00028122,O75475
IPI00028123,Q9Y222
IPI00028127,P14921
IPI00028132,P30968
IPI00028134,P16389
IPI00028135,Q9H159
IPI00028147,P12821
IPI00028150,P30989
IPI00028151,Q9HCC6
IPI00028152,Q9HCU8
IPI00028155,Q9NQR9
IPI00028158,P30990
IPI00028159,P61073
IPI00028160,P08397
IPI00028161,Q9C056
IPI00028171,Q9BPW4
IPI00028177,Q86TP1
IPI00028195,Q9BPZ7
IPI00028199,Q9H4S2
IPI00028203,O95006
IPI00028213,O95025
IPI00028229,Q6UWM9
IPI00028233,O95047
IPI00028239,O95050
IPI00028264,Q8IYI6
IPI00028266,O95067
IPI00028268,O95069
IPI00028270,Q14002
IPI00028275,Q14008
IPI00028276,Q9C0B0
IPI00028277,Q9C0B1
IPI00028279,Q86VY4
IPI00028280,Q7L591
IPI00028290,O95076
IPI00028296,Q14012
IPI00028306,Q155Q3
IPI00028318,Q9C0D0
IPI00028321,Q9BQD1
IPI00028323,Q9NYW1
IPI00028325,Q9NYW2
IPI00028328,Q9NYW3
IPI00028332,Q9NYV9
IPI00028338,Q9C0D9
IPI00028339,O95096
IPI00028344,Q8IWQ3
IPI00028347,Q5XUX0
IPI00028349,Q9NYW0
IPI00028350,Q9NYV8
IPI00028357,Q9C0E2
IPI00028359,Q7L8J4
IPI00028366,Q8WTS6
IPI00028369,Q9C0E8
IPI00028376,O60220
IPI00028377,O60224
IPI00028378,O60225
IPI00028379,Q9BV97
IPI00028381,Q6UY11
IPI00028382,O60229
IPI00028383,Q9BQD7
IPI00028387,Q96HY6
IPI00028390,Q9BQ48
IPI00028391,Q9C0F3
IPI00028392,Q9BW04
IPI00028412,O60232
IPI00028413,Q06033
IPI00028414,O60234
IPI00028415,P40424
IPI00028416,P40425
IPI00028417,P40426
IPI00028418,Q9BV99
IPI00028419,O60238
IPI00028428,Q9BY84
IPI00028431,O75425
IPI00028438,Q8IY22
IPI00028444,O60240
IPI00028448,O60242
IPI00028449,O60243
IPI00028450,P32418
IPI00028451,O60248
IPI00028457,P49802
IPI00028464,Q9C0H6
IPI00028480,Q9UHD0
IPI00028481,P61006
IPI00028482,Q06055
IPI00028483,O60258
IPI00028484,O60259
IPI00028491,Q9NUQ2
IPI00028492,Q9C0I4
IPI00028493,P49815
IPI00028501,Q9C0I9
IPI00028509,O60262
IPI00028513,O60266
IPI00028514,Q04609
IPI00028516,O60268
IPI00028517,Q14088
IPI00028518,O60269
IPI00028520,P49821
IPI00028526,Q5VYX0
IPI00028539,Q14093
IPI00028541,Q14094
IPI00028553,Q9UNW1
IPI00028559,P16410
IPI00028561,O60282
IPI00028564,P32455
IPI00028565,P32456
IPI00028566,O60285
IPI00028570,P49841
IPI00028571,P49842
IPI00028579,P49848
IPI00028588,O60299
IPI00028594,Q9BQM9
IPI00028600,P49862
IPI00028602,P49863
IPI00028610,Q04656
IPI00028611,P24468
IPI00028613,O60330
IPI00028615,Q9Y5G3
IPI00028616,Q9Y5G2
IPI00028617,Q9Y5G1
IPI00028618,P16455
IPI00028619,Q9UN71
IPI00028623,P49888
IPI00028624,Q9Y5G0
IPI00028625,Q9Y5F9
IPI00028627,Q04671
IPI00028634,P49895
IPI00028635,P04844
IPI00028640,P16471
IPI00028641,O60237
IPI00028642,P16473
IPI00028643,O60237
IPI00028648,Q9BR10
IPI00028670,P08476
IPI00028685,Q96N03
IPI00028695,P51689
IPI00028704,Q9BR46
IPI00028714,P08493
IPI00028718,Q5T0N5
IPI00028722,O75177
IPI00028723,Q96MZ0
IPI00028739,O15259
IPI00028762,Q9Y2I6
IPI00028778,Q9NY84
IPI00028783,Q9BQY6
IPI00028786,P98161
IPI00028828,O95125
IPI00028833,Q9HCG1
IPI00028862,O95156
IPI00028864,O95157
IPI00028872,Q7Z6W1
IPI00028879,Q02083
IPI00028881,O95167
IPI00028883,O95169
IPI00028888,Q14103
IPI00028889,Q14106
IPI00028902,O95177
IPI00028904,O95178
IPI00028908,Q14112
IPI00028910,Q14117
IPI00028911,Q14118
IPI00028912,Q14119
IPI00028915,O95180
IPI00028928,Q14123
IPI00028931,Q14126
IPI00028932,O60307
IPI00028935,Q14129
IPI00028937,O95190
IPI00028946,O95197
IPI00028954,O60318
IPI00028955,Q14137
IPI00028957,Q14139
IPI00028973,O60320
IPI00028974,Q14140
IPI00028980,Q14146
IPI00029002,O95562
IPI00029011,O60333
IPI00029012,Q14152
IPI00029013,Q14153
IPI00029014,Q14154
IPI00029015,Q06136
IPI00029019,Q14157
IPI00029021,Q14159
IPI00029023,Q7L945
IPI00029028,Q13642
IPI00029039,Q06141
IPI00029041,Q86VP3
IPI00029045,Q14164
IPI00029046,Q14165
IPI00029048,Q14166
IPI00029050,O95461
IPI00029053,P49901
IPI00029054,P49902
IPI00029056,P49903
IPI00029061,P49908
IPI00029073,O60356
IPI00029074,O60359
IPI00029075,P49910
IPI00029079,P49915
IPI00029081,P49916
IPI00029084,Q9BPZ2
IPI00029086,P49918
IPI00029091,O60361
IPI00029095,Q14186
IPI00029096,Q14188
IPI00029097,Q9UKQ2
IPI00029099,Q5T7M9
IPI00029104,P24522
IPI00029105,Q14190
IPI00029107,Q14191
IPI00029112,Q9UKF5
IPI00029113,Q9UKF5
IPI00029114,Q14197
IPI00029116,Q9HAV5
IPI00029123,P24530
IPI00029127,O60383
IPI00029129,O60384
IPI00029131,P16519
IPI00029132,Q06187
IPI00029133,P24539
IPI00029136,Q9HBJ0
IPI00029140,P43155
IPI00029143,P16520
IPI00029144,Q06190
IPI00029148,O60397
IPI00029149,Q9UKB3
IPI00029151,Q9HBE4
IPI00029155,Q6IA17
IPI00029162,Q14004
IPI00029166,Q04743
IPI00029168,P08519
IPI00029170,Q9P219
IPI00029174,Q9GZN2
IPI00029175,Q12768
IPI00029178,Q9BYV9
IPI00029180,Q9GZV3
IPI00029184,Q9GZV7
IPI00029193,Q04756
IPI00029196,Q04759
IPI00029203,Q6ZN84
IPI00029218,P16562
IPI00029219,Q04771
IPI00029225,Q12798
IPI00029235,P24592
IPI00029236,P24593
IPI00029239,Q9H9P8
IPI00029244,Q9BS18
IPI00029250,Q16518
IPI00029260,P08571
IPI00029263,P16591
IPI00029264,P08574
IPI00029266,P62304
IPI00029267,P08579
IPI00029268,Q07837
IPI00029273,P08581
IPI00029275,P08582
IPI00029278,P08588
IPI00029300,Q96B02
IPI00029324,O15344
IPI00029337,Q9BRY0
IPI00029343,Q9UHC6
IPI00029356,Q9NXX6
