Accession,Protein
IPI00001485,O95972
IPI00001493,Q9Y5H5
IPI00001495,Q9Y5H6
IPI00001496,Q9Y5H7
IPI00001497,Q9Y5H8
IPI00001498,Q9Y5H9
IPI00001504,O95988
IPI00001506,P01303
IPI00001508,P01308
IPI00001510,Q9Y5I0
IPI00001511,Q9Y5I1
IPI00001513,Q9Y5I2
IPI00001515,Q9Y5I3
IPI00001516,Q9Y5I4
IPI00001517,P26715
IPI00001519,Q16384
IPI00001520,Q16385
IPI00001521,Q9Y5I7
IPI00001538,Q9Y5J6
IPI00001539,P42765
IPI00001541,Q9Y5J7
IPI00001543,P62072
IPI00001545,P42768
IPI00001551,Q9GZZ0
IPI00001557,Q14940
IPI00001559,Q9Y5K2
IPI00001560,P42771
IPI00001562,Q9Y5K3
IPI00001563,P42772
IPI00001564,P42773
IPI00001567,Q9GZV8
IPI00001568,Q9Y5K8
IPI00001574,Q8NCW0
IPI00001575,Q9BZF2
IPI00001576,Q9BTP6
IPI00001577,Q9BTN0
IPI00001578,Q9BQA9
IPI00001580,Q9BQS8
IPI00001583,Q9Y5L2
IPI00001584,Q14952
IPI00001586,Q9Y5L3
IPI00001587,Q14953
IPI00001589,Q9Y5L4
IPI00001590,Q9Y5L5
IPI00001592,Q14956
IPI00001593,P42785
IPI00001597,Q08397
IPI00001600,Q9BTK6
IPI00001602,Q9BZM4
IPI00001603,Q9BZG2
IPI00001610,P05019
IPI00001611,P01344
IPI00001617,Q06945
IPI00001618,Q14964
IPI00001619,Q9Y5M6
IPI00001624,P01350
IPI00001628,P01358
IPI00001631,Q9P1Q5
IPI00001632,Q9P206
IPI00001633,O43155
IPI00001637,Q14973
IPI00001638,Q9Y255
IPI00001639,Q14974
IPI00001640,Q9Y5N5
IPI00001641,Q9Y5N6
IPI00001649,Q9Y5T4
IPI00001651,Q9P215
IPI00001655,Q9Y6A4
IPI00001661,P18754
IPI00001663,O43464
IPI00001670,P01374
IPI00001671,P01375
IPI00001674,Q9UHF0
IPI00001675,Q9NY25
IPI00001676,Q8TAT6
IPI00001677,Q14990
IPI00001678,Q9Y5P0
IPI00001683,Q9Y5P2
IPI00001684,Q9UJW8
IPI00001685,Q9Y5P3
IPI00001687,Q14994
IPI00001690,Q14999
IPI00001699,Q9ULZ3
IPI00001707,Q9NPI1
IPI00001710,Q9UID3
IPI00001712,Q9UI47
IPI00001714,Q9Y603
IPI00001716,Q9Y606
IPI00001717,Q9Y5Q6
IPI00001719,Q9BZL3
IPI00001722,P78549
